date,accY,accZ,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,d1,d2,d3
2014_11_11_15_19_44    289,-1085,466,395,324,697,610,3,54,1,3,3,0,756,432,1,691,800,0.0,3,0
2014_11_11_15_19_44    240,-1032,467,392,246,694,611,2,57,2,2,1,2,755,441,2,692,800,0.0,3,0
2014_11_11_15_19_44    320,-1074,432,389,299,704,602,2,61,2,2,2,1,753,445,1,699,799,0.0,3,0
2014_11_11_15_19_44    320,-1074,432,389,299,704,602,2,61,2,2,2,1,753,445,1,699,799,0.0,3,0
2014_11_11_15_19_44    304,-1098,422,390,334,705,604,1,64,3,2,2,2,754,427,1,707,798,0.0,3,0
2014_11_11_15_19_44    275,-1064,408,390,301,704,605,2,63,2,0,2,2,754,425,1,704,798,0.0,3,0
2014_11_11_15_19_44    275,-1081,408,389,268,699,606,2,62,1,3,1,1,759,431,3,705,797,0.0,3,0
2014_11_11_15_19_44    275,-1081,408,389,268,699,606,2,62,1,3,1,1,759,431,3,705,797,0.0,3,0
2014_11_11_15_19_45    252,-1081,422,392,321,700,606,1,66,2,2,1,4,760,463,2,705,796,0.0,3,0
2014_11_11_15_19_45    268,-1108,406,394,300,699,608,1,57,0,2,2,2,763,477,2,700,795,0.0,3,0
2014_11_11_15_19_45    243,-1049,408,395,280,699,607,1,56,0,2,1,1,772,470,1,703,795,0.0,3,0
2014_11_11_15_19_45    247,-1056,435,396,309,700,608,2,58,2,2,2,2,764,472,2,707,794,0.0,3,0
2014_11_11_15_19_45    249,-1120,417,397,288,700,609,1,57,2,1,2,2,764,447,1,687,794,0.0,3,0
2014_11_11_15_19_45    255,-1058,425,398,300,700,608,2,59,2,3,1,2,765,448,1,685,794,0.0,3,0
2014_11_11_15_19_45    241,-1082,432,400,319,700,610,2,55,2,1,1,2,761,450,2,681,794,0.0,3,0
2014_11_11_15_19_45    261,-1069,406,402,364,702,611,1,54,1,1,2,4,762,457,1,676,792,0.0,3,0
2014_11_11_15_19_45    259,-1056,403,400,369,699,611,2,57,2,2,4,0,761,458,1,670,792,0.0,3,0
2014_11_11_15_19_45    268,-1064,451,401,365,700,611,2,55,2,2,2,2,767,454,2,670,792,0.0,3,0
2014_11_11_15_19_45    252,-1064,428,401,337,700,610,2,56,2,2,2,1,774,453,3,670,790,0.0,3,0
2014_11_11_15_19_45    268,-1056,449,398,290,699,609,2,56,2,2,2,2,764,450,1,672,790,0.0,3,0
2014_11_11_15_19_45    271,-1028,481,392,269,700,607,1,55,2,1,2,3,770,455,1,676,791,0.0,3,0
2014_11_11_15_19_45    271,-1028,481,392,269,700,607,1,55,2,1,2,3,770,455,1,676,791,0.0,3,0
2014_11_11_15_19_45    268,-1028,480,387,222,698,607,4,54,1,2,1,2,762,451,1,674,789,0.0,3,0
2014_11_11_15_19_45    241,-984,481,386,275,700,607,2,56,1,1,1,0,760,431,2,682,785,0.0,3,0
2014_11_11_15_19_45    238,-982,488,386,320,706,609,2,58,2,1,4,1,761,405,1,685,784,0.0,3,0
2014_11_11_15_19_45    227,-1042,511,385,286,701,610,1,57,0,1,1,2,771,399,2,694,785,0.0,3,0
2014_11_11_15_19_45    248,-1061,503,382,275,699,610,1,58,2,2,1,2,772,436,2,695,780,0.0,3,0
2014_11_11_15_19_45    239,-1065,489,384,369,699,610,3,58,49,3,1,2,766,430,2,696,780,0.0,3,0
2014_11_11_15_19_46    207,-1029,497,386,387,698,606,2,60,0,2,2,2,775,429,2,695,780,0.0,3,0
2014_11_11_15_19_46    217,-1020,489,388,434,704,611,2,58,2,2,2,2,786,455,2,670,786,0.0,3,0
2014_11_11_15_19_46    193,-1057,462,389,449,701,610,2,155,140,1,1,2,806,495,1,671,787,0.0,3,0
2014_11_11_15_19_46    205,-1049,499,391,491,704,609,1,297,188,1,1,1,803,595,2,672,788,0.0,3,0
2014_11_11_15_19_46    185,-1025,467,391,486,702,610,2,323,169,4,1,3,809,604,2,673,787,0.0,3,0
2014_11_11_15_19_46    207,-1136,500,394,464,706,611,2,264,149,1,2,2,792,516,0,671,785,0.0,3,0
2014_11_11_15_19_46    222,-1122,467,395,448,704,611,3,215,134,2,2,5,794,502,1,673,785,0.0,2,0
2014_11_11_15_19_46    248,-1095,504,395,446,705,612,2,297,142,2,2,1,787,502,2,676,784,0.0,2,0
2014_11_11_15_19_46    265,-1125,480,392,458,706,610,2,311,138,1,3,1,788,517,2,680,783,0.0,2,0
2014_11_11_15_19_46    291,-1184,449,392,423,703,610,1,295,178,2,2,2,791,521,1,677,783,0.0,2,0
2014_11_11_15_19_46    252,-1056,447,391,412,702,611,1,64,55,3,1,2,774,501,3,677,787,0.0,2,0
2014_11_11_15_19_46    248,-1053,497,377,346,703,594,1,59,2,4,0,2,725,383,2,682,786,0.0,2,0
2014_11_11_15_19_46    248,-1053,497,377,346,703,594,1,59,2,4,0,2,725,383,2,682,786,0.0,2,0
2014_11_11_15_19_46    227,-1026,472,369,249,672,601,2,60,2,2,2,3,678,330,2,686,782,0.0,2,0
2014_11_11_15_19_46    215,-1016,455,358,206,661,582,2,59,3,2,1,3,623,224,3,685,781,0.0,2,0
2014_11_11_15_19_46    250,-1025,486,360,210,665,588,0,60,3,1,0,1,618,252,1,692,783,0.0,2,0
2014_11_11_15_19_46    295,-1092,466,358,212,636,593,2,112,2,1,2,0,626,303,3,704,785,0.0,3,0
2014_11_11_15_19_46    319,-1071,548,363,196,649,591,2,228,63,2,1,2,635,323,15,725,790,0.0,3,0
2014_11_11_15_19_46    327,-1064,519,391,218,656,582,2,222,108,2,1,3,647,396,42,741,786,0.0,3,0
2014_11_11_15_19_46    323,-1081,519,398,329,653,612,2,160,115,3,1,2,698,419,497,735,785,0.0,3,0
2014_11_11_15_19_47    323,-1081,519,398,329,653,612,2,160,115,3,1,2,698,419,497,735,785,0.0,3,0
2014_11_11_15_19_47    344,-1053,510,410,309,651,619,2,286,129,2,2,0,693,445,476,746,787,0.0,3,0
2014_11_11_15_19_47    368,-1014,559,414,364,660,672,2,306,120,1,1,2,700,461,459,746,784,0.0,0,1
2014_11_11_15_19_47    368,-1014,559,414,364,660,672,2,306,120,1,1,2,700,461,459,746,784,0.0,0,1
2014_11_11_15_19_47    345,-953,523,416,441,670,593,1,342,153,1,0,2,699,464,448,759,784,0.0,0,1
2014_11_11_15_19_47    359,-1025,532,417,486,670,609,2,360,157,1,2,1,708,457,447,766,785,0.0,0,1
2014_11_11_15_19_47    323,-1002,536,419,522,667,649,3,382,154,2,1,0,704,454,445,765,787,0.0,0,1
2014_11_11_15_19_47    336,-1001,583,427,479,656,652,2,368,201,2,1,0,713,448,435,769,785,0.0,0,1
2014_11_11_15_19_47    332,-999,582,401,465,653,590,2,346,217,1,2,2,715,388,427,767,785,0.0,0,1
2014_11_11_15_19_47    342,-994,560,394,428,647,582,2,352,213,1,2,2,713,434,424,767,784,0.0,0,1
2014_11_11_15_19_47    347,-980,608,392,406,628,614,2,353,144,3,2,1,725,463,419,766,785,0.0,0,1
2014_11_11_15_19_47    291,-927,659,408,342,630,644,2,397,152,2,1,2,737,508,421,775,788,0.0,0,1
2014_11_11_15_19_47    246,-922,555,410,368,631,637,2,399,147,1,2,0,745,532,421,783,788,0.0,0,1
2014_11_11_15_19_47    246,-922,555,410,368,631,637,2,399,147,1,2,0,745,532,421,783,788,0.0,0,1
2014_11_11_15_19_47    296,-996,556,416,365,635,642,2,404,154,2,1,1,754,549,418,772,789,0.0,0,1
2014_11_11_15_19_47    312,-999,588,410,352,637,587,2,400,154,2,2,0,747,508,413,759,785,0.0,0,1
2014_11_11_15_19_47    304,-1005,588,399,393,629,578,1,365,145,2,1,1,744,411,410,758,786,0.0,0,1
2014_11_11_15_19_47    299,-880,679,393,341,621,556,2,108,93,2,1,1,733,356,408,749,784,0.0,0,1
2014_11_11_15_19_47    352,-1106,654,383,343,622,556,1,77,130,2,2,2,730,360,406,747,783,0.0,0,1
2014_11_11_15_19_47    352,-1106,654,383,343,622,556,1,77,130,2,2,2,730,360,406,747,783,0.0,0,1
2014_11_11_15_19_48    313,-1121,633,386,384,636,561,2,161,126,2,2,1,738,374,414,752,787,0.0,0,1
2014_11_11_15_19_48    282,-944,679,385,401,637,587,3,83,143,0,2,2,737,386,417,754,791,0.0,0,1
2014_11_11_15_19_48    232,-945,732,397,412,637,600,2,286,141,1,2,0,739,406,418,757,790,0.0,0,1
2014_11_11_15_19_48    327,-1065,616,400,415,639,613,2,336,213,1,2,1,738,482,418,757,789,0.0,0,1
2014_11_11_15_19_48    321,-935,566,403,415,642,611,1,280,213,1,1,4,740,492,417,756,787,0.0,0,1
2014_11_11_15_19_48    304,-932,563,403,410,646,612,1,294,213,3,2,0,740,496,416,757,789,0.0,0,1
2014_11_11_15_19_48    280,-912,679,400,406,638,574,1,163,229,3,2,2,739,494,413,755,785,0.0,0,1
2014_11_11_15_19_48    295,-975,685,392,405,638,578,3,227,224,2,1,2,739,476,411,756,786,0.0,0,1
2014_11_11_15_19_48    300,-968,591,387,401,640,607,2,187,231,2,1,3,741,478,415,756,786,0.0,0,1
2014_11_11_15_19_48    351,-1008,540,388,404,640,600,2,146,238,2,2,2,742,489,417,762,787,0.0,0,1
2014_11_11_15_19_48    326,-953,540,385,404,640,604,2,163,244,1,3,2,740,407,416,764,787,0.0,0,1
2014_11_11_15_19_48    286,-1017,592,385,401,642,615,3,280,241,2,0,2,740,476,414,766,788,0.0,0,1
2014_11_11_15_19_48    280,-940,635,398,426,643,613,2,378,146,3,3,2,742,496,415,768,787,0.0,0,1
2014_11_11_15_19_48    292,-979,617,416,435,647,633,3,409,150,2,0,2,749,553,415,783,790,0.0,0,1
2014_11_11_15_19_48    352,-1038,521,431,466,667,647,2,430,161,450,0,1,756,629,432,801,791,0.0,0,1
2014_11_11_15_19_48    344,-1007,515,427,577,671,650,2,416,190,460,2,1,761,638,444,805,792,0.0,0,1
2014_11_11_15_19_48    284,-1021,551,433,582,671,650,2,414,165,464,2,1,761,641,443,806,792,0.0,0,1
2014_11_11_15_19_48    300,-1025,636,433,581,670,644,2,418,198,472,2,0,757,622,438,812,790,0.0,0,1
2014_11_11_15_19_48    272,-992,664,432,567,667,641,2,404,159,2,2,2,759,569,433,813,789,0.0,0,1
2014_11_11_15_19_48    304,-1001,620,431,546,666,621,2,397,158,2,2,2,752,523,431,799,789,0.0,0,1
2014_11_11_15_19_49    287,-988,591,404,427,653,554,1,209,73,2,5,2,722,422,427,754,783,0.0,0,1
2014_11_11_15_19_49    321,-986,568,399,426,651,551,2,85,40,2,1,2,716,301,425,745,780,0.0,0,1
2014_11_11_15_19_49    275,-1009,603,391,416,654,529,2,168,54,3,2,2,698,304,425,736,778,0.0,0,1
2014_11_11_15_19_49    275,-1009,603,391,416,654,529,2,168,54,3,2,2,698,304,425,736,778,0.0,0,1
2014_11_11_15_19_49    288,-976,622,391,433,660,542,3,148,127,2,0,2,679,392,427,732,783,0.0,0,1
2014_11_11_15_19_49    335,-1025,551,388,435,656,547,2,157,119,2,2,1,682,461,427,733,782,0.0,0,1
2014_11_11_15_19_49    347,-912,531,383,426,655,542,2,219,99,1,2,1,687,397,428,733,783,0.0,0,1
2014_11_11_15_19_49    252,-921,627,385,350,659,503,3,168,125,2,2,1,686,250,424,733,780,0.0,0,1
2014_11_11_15_19_49    262,-1009,675,382,353,643,523,1,192,130,1,3,1,679,361,426,735,782,0.0,0,1
2014_11_11_15_19_49    275,-1061,654,383,330,645,528,3,155,115,1,2,1,680,363,427,739,783,0.0,0,1
2014_11_11_15_19_49    327,-980,595,381,370,651,531,2,220,113,2,2,2,683,298,429,744,783,0.0,0,1
2014_11_11_15_19_49    291,-928,620,384,379,639,555,1,216,126,2,1,2,712,279,428,788,784,0.0,0,1
2014_11_11_15_19_49    342,-940,663,384,383,638,541,2,213,137,1,2,1,708,275,428,798,785,0.0,0,1
2014_11_11_15_19_49    368,-1089,631,380,383,638,566,1,202,136,2,2,2,712,321,428,804,784,0.0,0,1
2014_11_11_15_19_49    343,-980,559,377,391,644,569,2,212,137,4,1,2,721,308,427,810,784,1.0,0,0
2014_11_11_15_19_49    327,-961,609,376,404,636,570,1,155,147,3,1,1,728,321,426,812,784,1.0,0,0
2014_11_11_15_19_49    310,-942,615,376,379,639,561,2,238,149,2,2,0,727,324,428,814,783,1.0,0,0
2014_11_11_15_19_49    311,-959,611,377,396,641,568,1,178,151,2,0,2,727,321,428,811,784,1.0,0,0
2014_11_11_15_19_49    336,-961,620,377,397,639,571,2,192,143,1,1,2,730,309,427,813,785,1.0,0,0
2014_11_11_15_19_49    339,-989,621,377,416,639,570,1,234,151,2,2,1,730,276,427,813,785,1.0,0,0
2014_11_11_15_19_50    342,-933,617,379,413,637,581,1,275,149,2,2,1,730,287,429,817,788,1.0,0,0
2014_11_11_15_19_50    367,-1045,575,382,406,646,584,0,334,186,1,1,3,726,367,434,817,787,1.0,0,0
2014_11_11_15_19_50    336,-989,598,379,386,651,604,2,365,187,1,2,0,726,386,431,822,792,1.0,0,0
2014_11_11_15_19_50    335,-1005,606,377,358,661,605,2,318,160,2,2,1,726,399,428,822,789,1.0,0,0
2014_11_11_15_19_50    335,-1005,606,377,358,661,605,2,318,160,2,2,1,726,399,428,822,789,1.0,0,0
2014_11_11_15_19_50    331,-962,593,377,350,653,605,2,313,155,2,3,2,726,405,429,822,787,1.0,0,0
2014_11_11_15_19_50    348,-962,606,376,443,649,603,1,310,149,1,2,2,728,391,428,823,787,1.0,0,0
2014_11_11_15_19_50    359,-980,593,377,458,650,604,2,347,156,1,2,2,724,387,426,824,788,1.0,0,0
2014_11_11_15_19_50    350,-951,579,378,500,650,608,1,359,157,2,1,4,732,328,430,824,789,1.0,0,0
2014_11_11_15_19_50    355,-936,577,390,448,651,601,2,363,155,2,1,1,737,406,433,824,789,1.0,0,0
2014_11_11_15_19_50    364,-968,572,382,362,653,594,3,391,168,2,1,2,736,418,436,822,790,1.0,0,0
2014_11_11_15_19_50    364,-968,572,382,362,653,594,3,391,168,2,1,2,736,418,436,822,790,1.0,0,0
2014_11_11_15_19_50    355,-977,615,390,385,660,597,2,378,169,1,2,1,735,377,436,822,788,1.0,0,0
2014_11_11_15_19_50    366,-964,611,380,416,654,614,2,115,152,2,1,2,735,385,433,822,788,1.0,0,0
2014_11_11_15_19_50    351,-969,584,375,446,653,585,2,131,148,2,3,2,740,420,432,821,787,1.0,0,0
2014_11_11_15_19_50    351,-950,599,364,403,649,563,3,242,156,1,2,2,737,431,432,821,787,1.0,0,0
2014_11_11_15_19_50    351,-950,599,364,403,649,563,3,242,156,1,2,2,737,431,432,821,787,1.0,0,0
2014_11_11_15_19_50    363,-970,588,392,365,645,584,2,115,157,2,2,1,738,465,432,822,787,1.0,0,0
2014_11_11_15_19_50    383,-999,608,368,461,660,599,2,188,154,2,1,3,722,461,432,824,786,1.0,0,0
2014_11_11_15_19_50    359,-935,599,355,398,666,597,2,84,148,2,4,2,735,463,433,822,787,1.0,0,0
2014_11_11_15_19_51    369,-984,600,373,327,662,584,1,192,151,1,2,2,736,466,434,823,787,1.0,0,0
2014_11_11_15_19_51    359,-967,608,374,329,667,586,2,239,163,3,1,0,734,469,436,823,787,1.0,0,0
2014_11_11_15_19_51    356,-975,593,376,377,665,590,2,227,155,0,1,2,736,473,436,823,787,1.0,0,0
2014_11_11_15_19_51    368,-970,598,377,409,667,583,1,143,151,2,2,2,737,459,435,823,787,1.0,0,0
2014_11_11_15_19_51    368,-989,599,373,460,666,588,1,230,162,3,2,2,734,471,437,824,786,1.0,0,0
2014_11_11_15_19_51    381,-942,601,371,445,668,588,1,215,163,1,2,3,739,475,441,824,787,1.0,0,0
2014_11_11_15_19_51    368,-961,604,377,446,668,590,2,310,167,2,1,1,736,505,440,822,788,1.0,0,0
2014_11_11_15_19_51    364,-970,615,379,432,667,588,2,321,166,0,1,2,735,505,441,819,787,1.0,0,0
2014_11_11_15_19_51    369,-950,627,383,407,668,586,1,321,257,2,2,2,737,512,440,818,790,1.0,0,0
2014_11_11_15_19_51    369,-950,627,383,407,668,586,1,321,257,2,2,2,737,512,440,818,790,1.0,0,0
2014_11_11_15_19_51    368,-912,611,385,402,668,588,3,328,241,2,1,2,736,517,440,818,788,1.0,0,0
2014_11_11_15_19_51    352,-948,647,390,399,668,588,1,326,162,2,2,3,736,517,441,819,789,1.0,0,0
2014_11_11_15_19_51    359,-973,606,391,404,668,588,2,323,244,1,2,1,736,510,447,819,788,1.0,0,0
2014_11_11_15_19_51    371,-948,595,389,399,660,589,1,278,233,3,2,2,736,489,442,819,789,1.0,0,0
2014_11_11_15_19_51    371,-961,620,391,409,669,589,2,318,231,1,4,2,734,513,444,820,788,1.0,0,0
2014_11_11_15_19_51    355,-961,614,391,421,668,590,2,320,240,2,1,1,734,515,451,820,788,1.0,0,0
2014_11_11_15_19_51    359,-943,600,392,385,668,589,1,298,255,2,3,1,731,514,452,821,787,1.0,0,0
2014_11_11_15_19_51    364,-917,606,392,401,667,583,1,253,262,0,2,2,729,508,446,820,788,1.0,0,0
2014_11_11_15_19_51    352,-957,620,394,437,666,584,2,256,245,2,1,2,731,513,445,820,788,1.0,0,0
2014_11_11_15_19_51    367,-935,635,393,435,666,583,2,254,250,1,2,2,728,518,444,821,789,1.0,0,0
2014_11_11_15_19_52    368,-941,595,388,435,666,586,0,267,227,2,2,4,728,522,447,822,788,1.0,0,0
2014_11_11_15_19_52    375,-985,615,388,414,668,587,1,298,243,1,2,1,729,539,446,823,788,1.0,0,0
2014_11_11_15_19_52    368,-912,639,392,388,667,592,1,256,217,2,1,2,728,553,453,822,788,1.0,0,0
2014_11_11_15_19_52    355,-932,624,396,423,668,589,1,261,208,2,1,2,728,530,460,821,789,1.0,0,0
2014_11_11_15_19_52    382,-953,624,394,440,670,584,2,318,211,3,1,3,726,530,454,826,791,1.0,0,0
2014_11_11_15_19_52    384,-957,616,393,411,669,583,1,263,210,0,3,3,723,510,448,826,791,1.0,0,0
2014_11_11_15_19_52    390,-1017,625,388,408,670,574,2,291,207,2,2,3,723,507,446,826,790,1.0,0,0
2014_11_11_15_19_52    435,-1141,643,385,401,649,569,2,243,159,2,0,1,714,506,443,824,789,1.0,0,0
2014_11_11_15_19_52    440,-1122,583,385,415,670,571,3,211,173,2,2,2,711,568,446,822,788,1.0,0,0
2014_11_11_15_19_52    396,-996,520,383,423,669,540,1,315,164,1,1,2,701,527,446,823,783,1.0,0,0
2014_11_11_15_19_52    253,-777,696,385,411,669,513,2,295,150,5,2,2,705,515,443,800,778,1.0,0,0
2014_11_11_15_19_52    253,-777,696,385,411,669,513,2,295,150,5,2,2,705,515,443,800,778,1.0,0,0
2014_11_11_15_19_52    271,-833,675,381,400,667,528,1,255,151,1,2,1,718,507,443,793,778,1.0,0,0
2014_11_11_15_19_52    318,-993,646,379,411,667,541,2,235,148,2,2,1,715,518,443,792,778,1.0,0,0
2014_11_11_15_19_52    312,-1114,519,379,432,669,586,2,108,128,1,1,1,688,487,439,791,781,1.0,0,0
2014_11_11_15_19_52    368,-1229,521,373,334,657,592,2,188,127,2,3,1,694,473,437,788,779,1.0,0,0
2014_11_11_15_19_52    361,-1112,483,373,384,660,578,1,48,152,3,2,3,688,435,437,788,778,1.0,0,0
2014_11_11_15_19_52    332,-864,519,373,387,659,577,2,159,111,0,2,2,691,438,439,788,778,1.0,0,0
2014_11_11_15_19_52    355,-904,606,371,376,657,597,2,157,143,1,2,2,691,450,441,789,779,1.0,0,0
2014_11_11_15_19_52    387,-1033,622,371,390,657,601,2,219,144,2,2,1,704,499,440,788,780,1.0,0,0
2014_11_11_15_19_53    358,-944,575,366,275,659,598,3,214,213,2,2,2,706,428,440,789,779,1.0,0,0
2014_11_11_15_19_53    353,-997,577,361,278,661,601,2,188,123,3,2,1,675,459,440,790,778,1.0,0,0
2014_11_11_15_19_53    353,-961,569,363,318,664,606,1,216,203,3,2,1,684,425,440,791,777,1.0,0,0
2014_11_11_15_19_53    353,-961,569,363,318,664,606,1,216,203,3,2,1,684,425,440,791,777,1.0,0,0
2014_11_11_15_19_53    326,-962,590,366,398,669,611,2,240,144,2,2,2,694,425,441,788,776,1.0,0,0
2014_11_11_15_19_53    359,-948,558,365,415,672,622,1,206,143,2,2,2,712,468,442,788,777,1.0,0,0
2014_11_11_15_19_53    379,-1028,601,365,416,673,618,2,197,147,2,2,2,717,543,441,788,776,1.0,0,0
2014_11_11_15_19_53    348,-949,568,366,407,669,613,2,191,135,2,2,2,702,519,440,789,776,1.0,0,0
2014_11_11_15_19_53    380,-1001,568,363,407,670,615,1,172,134,2,2,2,708,511,440,785,777,1.0,0,0
2014_11_11_15_19_53    382,-997,579,365,409,671,612,2,194,191,1,2,1,707,510,442,782,773,1.0,0,0
2014_11_11_15_19_53    359,-993,580,365,414,671,615,2,222,191,2,2,1,707,512,442,782,775,1.0,0,0
2014_11_11_15_19_53    345,-960,572,364,423,670,608,2,144,124,2,1,2,702,505,440,780,775,1.0,0,0
2014_11_11_15_19_53    368,-928,576,365,422,671,614,2,223,186,2,1,3,706,515,441,780,775,1.0,0,0
2014_11_11_15_19_53    364,-943,592,365,423,671,616,2,210,210,2,1,1,705,524,442,781,775,1.0,0,0
2014_11_11_15_19_53    384,-1052,577,366,421,672,615,2,218,222,1,2,2,705,519,442,782,775,1.0,0,0
2014_11_11_15_19_53    364,-913,563,365,424,673,612,2,224,221,1,2,1,708,502,443,780,774,1.0,0,0
2014_11_11_15_19_53    387,-1012,584,365,427,671,618,2,167,219,2,1,2,709,506,444,781,774,1.0,0,0
2014_11_11_15_19_53    387,-1000,578,365,429,672,624,0,176,219,2,1,2,704,506,445,781,773,1.0,0,0
2014_11_11_15_19_53    368,-970,572,366,423,674,617,1,165,137,1,1,2,702,504,446,782,774,1.0,0,0
2014_11_11_15_19_53    364,-927,575,366,426,673,616,3,165,214,2,0,2,705,538,447,786,774,1.0,0,0
2014_11_11_15_19_54    371,-996,579,377,430,674,606,2,232,196,1,0,2,704,530,447,789,774,1.0,0,0
2014_11_11_15_19_54    364,-975,575,369,435,675,608,3,280,195,2,1,2,714,534,446,789,775,1.0,0,0
2014_11_11_15_19_54    367,-951,569,370,411,674,601,2,214,195,2,2,1,726,536,447,788,772,1.0,0,0
2014_11_11_15_19_54    364,-980,560,365,395,672,603,2,208,195,2,2,1,728,538,445,788,775,1.0,0,0
2014_11_11_15_19_54    380,-1010,575,367,392,673,603,2,229,134,1,2,2,726,543,446,791,776,1.0,0,0
2014_11_11_15_19_54    380,-961,575,368,340,672,605,2,204,132,1,1,1,722,546,446,790,773,1.0,0,0
2014_11_11_15_19_54    380,-964,545,359,349,673,602,2,202,151,2,0,1,714,552,444,798,773,1.0,0,0
